gpc_classification,Average - factor_kg_co2e
Alfalfa,0.066
Alternative Meat/Poultry/Other Animal Species - Unprepared/Unprocessed,4.100
Apples,0.077
Apricots,0.430
Aquatic Invertebrates - Unprepared/Unprocessed,8.070
Aquatic Plants Unprepared/ Unprocessed,0.256
Artichokeplants,0.604
Asparagus,1.301
Aubergines,1.174
Avocados,0.755
Baking/Cooking Supplies (Shelf Stable),0.719
Bananas,0.261
Beans (With Pods),0.656
Beef - Unprepared/Unprocessed,19.874
Beer,0.389
Beetroot,0.802
Berries/Small Fruit,0.440
Biscuits/Cookies (Perishable),0.893
Bison/Buffalo - Unprepared/Unprocessed,62.590
Black Eyed Peas,0.480
Blackberries,0.299
Blueberries,0.607
Brassica Vegetables,0.328
Bread (Perishable),0.421
Broad Beans,1.186
Broccoli,0.303
Brussel Sprouts,0.284
Butter (Perishable),3.556
Cacao,1.583
Carrots,0.416
Cassava,0.338
Cauliflower,0.233
Celery,0.195
Cereal Products - Ready to Eat (Perishable),0.656
Cheese (Perishable),2.528
Cherries,0.215
Chicken - Prepared/Processed,2.243
Chicken - Unprepared/Unprocessed,3.158
Chickpeas,0.390
Chicory Leaves,0.123
Chocolate and Chocolate/Sugar Candy Combinations - Confectionery,6.495
Chutneys/Relishes (Perishable),1.114
Citrus,0.157
Clementines,0.146
Coffee - Ground Beans,6.459
Coffee - Whole Beans,0.925
Common Cultivated Mushroom (Agaricus),0.350
Courgettes,0.336
Cranberries,0.407
Cream (Perishable),1.803
Crops for Production of Edible Fruit from Palmtrees,0.855
Cucumbers,0.954
Cucurbits - Edible Peel,0.073
Cucurbits - Inedible Peel,0.141
Dates,0.320
Dessert Sauces/Toppings/Fillings (Shelf Stable),1.529
Dressings/Dips (Perishable),1.177
Drinks Flavoured - Ready to Drink,0.172
Duck - Unprepared/Unprocessed,3.234
Edible Legume Crops,0.533
Eggs Products/Substitutes,1.224
Fennel (subspecies azoricum),0.480
Figs,0.430
Fish - Prepared/Processed (Frozen),2.475
Fish - Unprepared/Unprocessed,3.081
French/ Wax Beans,0.529
Fruit Juice - Ready to Drink (Perishable),0.318
Fruits - Unprepared/Unprocessed (Fresh),0.248
Garlic,0.213
Ginger,0.880
Globe Artichokes,0.480
Gooseberries,0.561
Grains/Flour,0.397
Graminoids (Grasses),0.105
Guavas,0.280
Head�Lettuce,0.441
Ice Cream/Ice Novelties (Frozen),2.012
In Shell Table Eggs,1.417
Kiwifruits,0.303
Lamb - Unprepared/Unprocessed,17.770
Leek,0.158
Leeks,0.207
Lemons,0.217
Lentils,0.691
Limes,0.159
Mangos,0.062
Margarine (Perishable),0.297
Meat Substitutes - Non Animal Based (Perishable),1.237
Melons,0.246
Milk (Perishable),2.285
Milk Substitutes (Perishable),0.245
Mutton - Unprepared/ Unprocessed,18.543
Nuts/Seeds - Unprepared/Unprocessed (Perishable),0.914
Oils Edible,1.656
Olives (Perishable),1.185
Onions,0.378
Oranges,0.196
Other Feed Crops,0.100
Other Sauces Dipping/Condiments/Savoury Toppings/Savoury Spreads/Marinades (Perishable),1.021
Pears,0.079
Peas,0.782
Peppers,0.997
Pineapples,0.194
Pork - Prepared/Processed,4.180
Pork - Unprepared/ Unprocessed,17.118
Pork - Unprepared/Unprocessed,4.183
Potatoes,0.506
Pumpkins/Winter Squash,0.174
Quinces,0.310
Rabbit - Unprepared/Unprocessed,3.700
Rapeseeds,0.495
Raspberries,0.457
Rosa - Cut Flowers,0.374
Satsuma Mandarins,0.252
Sauces - Cooking (Perishable),1.433
Sauces - Cooking (Shelf Stable),1.140
Shellfish Unprepared/Unprocessed,6.447
Soybeans,0.130
Spinach (Fresh),0.356
Stone Fruit,0.232
Strawberries,0.486
Sugar Beets,0.014
Sugars/Sugar Substitute Products,0.515
Swedish Turnips (Rutabagas),0.290
Sweetcorn,0.523
Table Grapes,0.245
Tomato Ketchup/Ketchup Substitutes (Perishable),1.636
Tomatoes,1.010
Turkey - Unprepared/ Unprocessed,4.313
Turkey - Unprepared/Unprocessed,6.040
Vegetable Based Products / Meals,0.726
Vegetables - Prepared/Processed (Perishable),0.482
Vegetables - Unprepared/Unprocessed (Shelf Stable),0.133
Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),0.102
Watermelons,0.320
Wine - Sparkling,0.448
Wine - Still,0.513
Wine Grapes,0.155
Yogurt (Perishable),0.741
Yogurt Substitutes (Perishable),0.379
